epoch,step,train_loss_epoch,train_loss_step,val_loss
0,0,,5.642040729522705,
0,1,,4.477697372436523,
0,2,,3.783233165740967,
0,3,,3.8421335220336914,
0,4,,3.798497438430786,
0,5,,3.773977756500244,
0,6,,3.740607500076294,
0,6,,,3.9930291175842285
0,6,4.200437545776367,,
1,7,,3.668269157409668,
1,8,,3.671841859817505,
1,9,,3.5755348205566406,
1,10,,3.6082093715667725,
1,11,,3.576547861099243,
1,12,,3.626866340637207,
1,13,,3.765641212463379,
1,13,,,3.636195182800293
1,13,3.626988410949707,,
2,14,,3.667206287384033,
2,15,,3.5248115062713623,
2,16,,3.5642521381378174,
2,17,,3.5449838638305664,
2,18,,3.6696934700012207,
2,19,,3.5388426780700684,
2,20,,3.5833287239074707,
2,20,,,3.591487169265747
2,20,3.584899663925171,,
3,21,,3.5753579139709473,
3,22,,3.532799482345581,
3,23,,3.542989730834961,
3,24,,3.6081297397613525,
3,25,,3.4426374435424805,
3,26,,3.6919891834259033,
3,27,,3.47005558013916,
3,27,,,3.577256441116333
3,27,3.561826705932617,,
4,28,,3.5800676345825195,
4,29,,3.5612950325012207,
4,30,,3.468235492706299,
4,31,,3.497832775115967,
4,32,,3.521775245666504,
4,33,,3.5993010997772217,
4,34,,3.4961955547332764,
4,34,,,3.5514028072357178
4,34,3.5364089012145996,,
5,35,,3.4586567878723145,
5,36,,3.5236778259277344,
5,37,,3.5140371322631836,
5,38,,3.4171054363250732,
5,39,,3.5201516151428223,
5,40,,3.5067710876464844,
5,41,,3.609018087387085,
5,41,,,3.5328893661499023
5,41,3.4948248863220215,,
6,42,,3.509963274002075,
6,43,,3.4160079956054688,
6,44,,3.3761954307556152,
6,45,,3.494731903076172,
6,46,,3.582402229309082,
6,47,,3.4816954135894775,
6,48,,3.522830009460449,
6,48,,,3.500429391860962
6,48,3.4786722660064697,,
7,49,,3.496452569961548,
7,50,,3.490687131881714,
7,51,,3.4892842769622803,
7,52,,3.3820223808288574,
7,53,,3.4711899757385254,
7,54,,3.43351674079895,
7,55,,3.350471019744873,
7,55,,,3.450888156890869
7,55,3.4561233520507812,,
8,56,,3.4478189945220947,
8,57,,3.4484548568725586,
8,58,,3.2756104469299316,
8,59,,3.401606798171997,
8,60,,3.466322422027588,
8,61,,3.45355224609375,
8,62,,3.7294888496398926,
8,62,,,3.420780658721924
8,62,3.4281182289123535,,
9,63,,3.473214626312256,
9,64,,3.4425573348999023,
9,65,,3.387530565261841,
9,66,,3.4306423664093018,
9,67,,3.432878255844116,
9,68,,3.3230605125427246,
9,69,,3.3569178581237793,
9,69,,,3.3882694244384766
9,69,3.4126579761505127,,
10,70,,3.3910303115844727,
10,71,,3.37176513671875,
10,72,,3.3329198360443115,
10,73,,3.3048510551452637,
10,74,,3.5701582431793213,
10,75,,3.316385269165039,
10,76,,3.383286952972412,
10,76,,,3.356879472732544
10,76,3.3812689781188965,,
11,77,,3.3729801177978516,
